date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2025-01-08,130117.090554,125.23300342059672,3177275.100449,1039,718352.37191,70,Greed,78.0,Extreme Greed,125.23300342059672,0.040952415651893774,1,-8.0
2025-01-09,46975.928902,89.99220096168582,1020733.193007,522,-252171.59694,69,Greed,70.0,Greed,89.99220096168582,0.04602175105485949,1,-1.0
2025-01-10,-10116.875552,-12.352717401709402,6547449.582684,819,171796.91333000013,50,Neutral,69.0,Greed,-12.352717401709402,-0.0015451628033541546,1,-19.0
2025-01-11,2269.080536,8.017952424028268,1658098.721674,283,2113.252639999984,69,Greed,50.0,Neutral,8.017952424028268,0.001368483375772197,1,19.0
2025-01-12,5742.241803,9.538607646179402,2258459.379615,602,-662382.687,62,Greed,69.0,Greed,9.538607646179402,0.0025425481878619755,1,-7.0
2025-01-13,9655.429352,23.66526801960784,2936648.0209072023,408,234857.2392399999,61,Greed,62.0,Greed,23.66526801960784,0.0032879082829331387,1,-1.0
2025-01-14,16069.512355,58.43459038181818,876582.0223750001,275,-56949.15759,63,Greed,61.0,Greed,58.43459038181818,0.018332012230254813,1,2.0
2025-01-15,14819.5883,55.50407602996255,1801599.901969,267,-184929.01506,70,Greed,63.0,Greed,55.50407602996255,0.008225793242885622,1,7.0
2025-01-16,20807.709328,56.08546988679245,3049692.8926330176,371,-76711.76517999999,75,Extreme Greed,70.0,Greed,56.08546988679245,0.006822886782555741,1,5.0
2025-01-17,7006.415608,29.43872104201681,1110230.49977,238,-171070.09804999997,75,Extreme Greed,75.0,Extreme Greed,29.43872104201681,0.00631077565375071,1,0.0
2025-01-18,443.2330819999997,0.6808495883256523,2711629.918111687,651,20293.9831999999,77,Extreme Greed,75.0,Extreme Greed,0.6808495883256523,0.0001634563326800349,1,2.0
2025-01-19,87923.799302,56.10963580216975,9715215.049641617,1567,-48732.67536000005,77,Extreme Greed,77.0,Extreme Greed,56.10963580216975,0.009050113543831787,1,0.0
2025-01-20,87277.239173,66.37052408593155,8287326.896812,1315,255952.26031999988,76,Extreme Greed,77.0,Extreme Greed,66.37052408593155,0.010531410219448943,1,-1.0
2025-01-21,11077.839421,20.901583813207548,1523729.631836115,530,-334654.25715,76,Extreme Greed,76.0,Extreme Greed,20.901583813207548,0.007270213290825784,1,0.0
2025-01-22,20524.408057,24.66875968389423,1778406.180462,832,-250301.28471999988,84,Extreme Greed,76.0,Extreme Greed,24.66875968389423,0.011540900094976112,1,8.0
2025-01-23,101256.24216,83.13320374384236,3697028.66398268,1218,416252.2130399998,75,Extreme Greed,84.0,Extreme Greed,83.13320374384236,0.027388546685196694,1,-9.0
2025-01-24,10602.779738,12.131326931350111,1611433.4707741083,874,-137267.20519,75,Extreme Greed,75.0,Extreme Greed,12.131326931350113,0.006579719194306287,1,0.0
2025-01-25,-10348.016256,-20.450625011857703,1239377.678231,506,315995.11524,75,Extreme Greed,75.0,Extreme Greed,-20.45062501185771,-0.008349364715661192,1,0.0
2025-01-26,40823.466668,90.51766445232816,1201173.584255,451,-233557.33000000007,73,Greed,75.0,Extreme Greed,90.51766445232816,0.03398631738419373,1,-2.0
